"scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","project_pi_contact","access","id"
"Clethra scabra","whole plant vegetative phenology","evergreen",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3245983
"Clethra scabra","whole plant vegetative phenology","variable or conflicting reports",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3245985
"Drimys brasiliensis","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3246491
"Endlicheria paniculata","stem wood density","0.58","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3260718
"Guarea macrophylla","stem wood density","0.77","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3393824
"Nematanthus tessmannii","flower pollination syndrome","hummingbird",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.1br13","Roalson EH","eric_roalson@wsu.edu","public",3450378
"Dalbergia frutescens","stem wood density","0.78","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3804276
"Solanum variabile","whole plant growth form","shrub",NA,NA,NA,NA,NA,"https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/aob/97/2/10.1093/aob/mcj029/2/mcj029.pdf?Expires=1490832117&Signature=EjJOF21JceCPCaQmp8Cyzz0e4bSS7JI0rv50EQwqdJFt3qGqfVSORcH0Y2E5NT7iLXYGNdBgRxdVozcWZRME2KuS9F-AD5Y6g2psD~i17Kl13AjnTxc~5Yaf28QGWKY3uv8bYrW-8gCzSRJ0WxSDYGY3~JiIIYxyoeYcWrohZnfyQ23Hropej5vdbkNPZem1uUcsYgGzZ5zOpi5YOKPODwvq986RjO~ATe01vRsEQzqkHHOS8x5tRKKokRVOE3chfZrcLAsj~~zPpE4Yz6NXxbnXBCe8rGcizKGfQScIxD5Wg1PIA05F3v5XIylAEmKE94AZboMnRnhdRExEvJ6ZYQ__&Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q","Machado IC","imachado@ufpe.br","public",3844198
"Anthurium scandens","whole plant growth form","epiphyte",NA,NA,NA,NA,NA,"https://www.researchgate.net/profile/Ruth_Sherman/publication/227536680_Forty_Years_of_Tropical_Forest_Recovery_from_Agriculture_Structure_and_Floristics_of_Secondary_and_Old-growth_Riparian_Forests_in_the_Dominican_Republic/links/00463524ebe76881c6000000.pdf","Sherman RE",NA,"public",3845981
"Myrsine coriacea","whole plant growth form","tree",NA,NA,NA,NA,NA,"https://www.researchgate.net/profile/Ruth_Sherman/publication/227536680_Forty_Years_of_Tropical_Forest_Recovery_from_Agriculture_Structure_and_Floristics_of_Secondary_and_Old-growth_Riparian_Forests_in_the_Dominican_Republic/links/00463524ebe76881c6000000.pdf","Sherman RE",NA,"public",3846012
"Peperomia tetraphylla","whole plant growth form","epiphyte",NA,NA,NA,NA,NA,NA,"Yineger H",NA,"public",3849210
"Fuchsia regia","whole plant growth form","creeper*",NA,NA,NA,NA,NA,"http://ac.els-cdn.com/S0254629914001124/1-s2.0-S0254629914001124-main.pdf?_tid=1e348c5a-545c-11e7-94b8-00000aacb360&acdnat=1497814208_7876d563e5d483d20d57f33a74331cd0","Baard JA","johan.baard@sanparks.org","public",3857804
"Endlicheria paniculata","whole plant vegetative phenology","evergreen",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3865759
"Endlicheria paniculata","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3865761
"Esenbeckia grandiflora","whole plant vegetative phenology","evergreen",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3867644
"Esenbeckia grandiflora","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3867645
"Esenbeckia grandiflora","whole plant height","5","m","max height",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3867647
"Guapira opposita","seed length","9.797","mm",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3876332
"Guapira opposita","seed mass","300","mg",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3876340
"Guapira opposita","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3876364
"Guarea macrophylla","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3876403
"Guarea macrophylla","whole plant vegetative phenology","evergreen",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3876439
"Guarea macrophylla","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3876440
"Guatteria australis","seed mass","100","mg",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3876492
"Guatteria australis","whole plant vegetative phenology","evergreen",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3876500
"Guatteria australis","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3876501
"Guatteria australis","seed length","6.786","mm",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3876503
"Guatteria australis","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3876531
"Guatteria australis","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3876540
"Guatteria australis","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3876566
"Guatteria australis","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3876578
"Guatteria australis","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3876588
"Guatteria australis","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3876598
"Guatteria australis","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3876603
"Guatteria australis","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3876618
"Marlierea eugeniopsoides","whole plant vegetative phenology","evergreen",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3889466
"Marlierea eugeniopsoides","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3889467
"Marlierea eugeniopsoides","seed mass","1000","mg",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3889468
"Marlierea eugeniopsoides","seed length","11","mm",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3889469
"Microgramma squamulosa","whole plant woodiness","herbaceous",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3891235
"Myrceugenia myrcioides","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3892773
"Myrceugenia myrcioides","seed length","3","mm",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3892774
"Myrsine coriacea","seed mass","4.56","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ","public",3893475
"Myrsine umbellata","seed mass","200","mg",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3893477
"Myrsine coriacea","whole plant vegetative phenology","evergreen",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3893479
"Myrsine coriacea","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3893480
"Myrsine coriacea","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3893491
"Myrsine umbellata","seed length","7","mm",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3893501
"Ouratea parviflora","whole plant vegetative phenology","evergreen",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3895927
"Ouratea parviflora","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3895930
"Peperomia glabella","whole plant woodiness","herbaceous",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3902859
"Peperomia tetraphylla","whole plant woodiness","herbaceous",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3902873
"Piper gaudichaudianum","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3905781
"Psychotria suterella","seed mass","80","mg",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3919863
"Myrsine coriacea","whole plant vegetative phenology","evergreen",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3921542
"Myrsine coriacea","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3921544
"Myrsine umbellata","whole plant vegetative phenology","evergreen",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3921565
"Myrsine umbellata","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3921566
"Rudgea jasminoides","seed mass","200","mg",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3923700
"Rudgea jasminoides","seed length","9","mm",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3923701
"Rumohra adiantiformis","whole plant woodiness","herbaceous",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3923770
"Vriesea carinata","whole plant woodiness","herbaceous",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3934308
"Anthurium scandens","whole plant woodiness","herbaceous",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3947131
"Clethra scabra","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3959155
"Clethra scabra","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3959174
"Clusia criuva","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3959437
"Clusia criuva","whole plant vegetative phenology","evergreen",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3959436
"Cupania vernalis","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3963067
"Cupania vernalis","whole plant height","16","m","max height",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3963068
"Dalbergia frutescens","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3964827
"Drimys brasiliensis","whole plant vegetative phenology","evergreen",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3969137
"Cupania vernalis","whole plant height","22.11","m","Maximum height",NA,NA,251,"http://dx.doi.org/10.1016/j.ppees.2009.03.001","T.A. Easdale","easdalet@landcareresearch.co.nz","public",4406704
"Cupania vernalis","leaf area per leaf dry mass","10.11","m2.kg-1","area/dry mass (Cornelissen et al. 2003) - without raquis",NA,NA,251,"http://dx.doi.org/10.1016/j.ppees.2009.03.001","T.A. Easdale","easdalet@landcareresearch.co.nz","public",4406705
"Cupania vernalis","stem wood density","0.675","g.cm-3","oven dry mass/fresh volume",NA,NA,251,"http://dx.doi.org/10.1016/j.ppees.2009.03.001","T.A. Easdale","easdalet@landcareresearch.co.nz","public",4406706
"Cupania vernalis","seed mass","22110","mg","air-dried weight of mature, undamaged seeds without attachments - mean value",NA,NA,251,"http://dx.doi.org/10.1016/j.ppees.2009.03.001","T.A. Easdale","easdalet@landcareresearch.co.nz","public",4406707
"Endlicheria paniculata","stem wood density","0.682","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",4408057
"Myrsine umbellata","stem wood density","0.86","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",4408145
"Dalbergia frutescens","stem wood density","0.78","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",4409187
"Endlicheria paniculata","stem wood density","0.58","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",4410033
"Myrsine coriacea","stem wood density","0.824","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",4410942
"Guapira opposita","stem wood density","0.83","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",4411250
"Esenbeckia grandiflora","stem wood density","1.076","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",4411893
"Cupania vernalis","stem wood density","0.675","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",4412066
"Cupania vernalis","stem wood density","0.65","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",4412067
"Clethra scabra","stem wood density","0.53","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",4413555
"Guatteria australis","stem wood density","0.59","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",4418000
"Clethra scabra","stem wood density","0.442","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",4418118
"Dalbergia frutescens","stem wood density","0.6","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",4419315
"Guarea macrophylla","stem wood density","0.77","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",4421650
